locale,ris
4,1.283636364
4,1.194545455
4,1.346363636
4,1.579090909
4,1.326363636
4,1.272727273
4,1.49
4,1.475454545
4,1.436363636
4,1.916363636
4,1.317272727
4,1.511818182
4,1.911818182
4,1.857272727
4,2.110909091
4,1.415454545
4,2.062727273
4,0.9
4,1.077272727
4,1.667272727
4,0.525454545
4,1.752727273
4,1.856363636
4,1.344545455
4,1.627272727
4,1.488181818
4,1.183636364
4,1.42
4,1.457272727
4,0.960909091
4,2.028181818
4,2.448181818
2,0.784545455
2,0.895454545
2,0.849090909
2,0.794545455
2,1.218181818
2,0.956363636
2,1.097272727
2,1.391818182
2,1.277272727
2,1.68
2,1.464545455
2,0.965454545
2,1.004545455
2,1.067272727
2,1.104545455
2,1.264545455
2,1.405454545
2,1.12
2,1.293636364
2,1.390909091
2,1.255454545
2,0.830909091
2,0.771818182
2,1.312727273
2,1.436363636
2,1.757272727
2,1.406363636
2,1.000909091
3,1.081818182
3,1.297272727
3,1.210909091
3,0.954545455
3,1.157272727
3,1.404545455
3,0.843636364
3,1.126363636
3,1.659090909
3,0.871818182
3,1.425454545
3,1.618181818
3,1.184545455
3,0.981818182
3,1.543636364
3,1.164545455
3,1.487272727
3,1.772727273
3,1.653636364
3,1.604545455
3,1.598181818
3,1.792727273
3,1.844545455
3,1.874545455
3,1.975454545
3,1.612727273
3,2.13
3,1.519090909
3,1.846363636
3,2.036363636
3,1.518181818
3,1.772727273
3,1.527272727
3,1.950909091
3,1.626363636
3,2.138181818
3,2.089090909
1,1.442727273
1,1.056363636
1,0.670909091
1,0.734545455
1,0.98
1,1.519090909
1,1.576363636
1,1.521818182
1,1.220909091
